ticketnumber,title,createdon,msdfm_productname,msdfm_rootcausedescription,msdfm_customerstatement,msdfm_resolution,msdfm_fullpath
120012346,Ingress routing failure in AKS cluster,2/10/2024,Azure Kubernetes Service,Ingress controller misconfiguration caused intermittent routing failures,Customer reports intermittent 502 errors when accessing services via Application Gateway,Reconfigured Traefik ingress rules and validated backend health probes,Azure/Compute/AKS
120012347,Application Gateway SSL handshake timeout,3/5/2024,Azure Application Gateway,Expired SSL certificate in Key Vault caused TLS handshake errors,Customer reported inability to reach public-facing endpoints,Renewed certificate in Key Vault and updated gateway listener configuration,Azure/Networking/ApplicationGateway
120012348,Private Link access denied to Key Vault,4/20/2024,Azure Key Vault,Network ACLs blocked Private Endpoint subnet from resolving DNS to Key Vault,Customer reported secret retrieval failures from workloads in AKS,Adjusted Key Vault network ACLs and DNS zone linkage for Private Endpoint resolution,Azure/Security/KeyVault
120012349,High latency between AKS nodes and ACR,5/12/2024,Azure Container Registry,Unoptimized registry SKU and network routing led to high image pull times,Customer reported slow pod startup due to image pull delays,Migrated ACR to Premium SKU and established VNet integration with AKS subnet,Azure/Storage/ContainerRegistry
120012350,Firewall blocking outbound traffic to Azure Monitor,6/7/2024,Azure Firewall,Firewall outbound rules misconfigured for monitoring endpoints,Customer reported missing logs and metrics in Azure Monitor,Updated network rules to allow outbound traffic to Azure Monitor and Prometheus endpoints,Azure/Networking/Firewall
120012351,Node pool autoscaling failure in AKS,7/19/2024,Azure Kubernetes Service,Cluster autoscaler not recognizing available subnet IP ranges,Customer observed pods stuck in Pending state during scale-out events,Expanded subnet IP address range and restarted AKS autoscaler components,Azure/Compute/AKS
120012352,Azure Bastion connection timeout,8/4/2024,Azure Bastion,Public IP of Bastion host was not correctly associated with management subnet,Customer unable to connect to virtual machines using Bastion service,Re-associated Bastion host to correct subnet and validated NSG configurations,Azure/Networking/Bastion
120012353,Internal load balancer health probe failure,9/10/2024,Azure Load Balancer,Incorrect probe path and port caused backend pool unhealthy status,Customer noticed service downtime within internal application network,Updated probe configuration to match application health endpoints and verified backend responses,Azure/Networking/LoadBalancer
120012354,Prometheus metrics ingestion lag,10/1/2024,Azure Monitor,Managed Prometheus workspace experiencing high ingestion latency under burst load,Customer observed delays in metric updates in dashboard,Scaled workspace ingestion capacity and optimized scrape intervals,Azure/Monitoring/Prometheus
120012355,Hybrid VPN Gateway packet loss,11/5/2024,Azure VPN Gateway,Intermittent on-premises routing instability caused packet drops over IPSec tunnel,Customer reported poor connectivity between on-prem and Azure workloads,Reconfigured VPN policies and adjusted BGP routes for stable connectivity,Azure/Networking/VPNGateway
